Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bhutan,BTN,,,,,,,,,22.03288,24.83532,,,,,,,,,,,,,,,,,,,53.94555,54.85842,57.64125,60.31058,,,,70.22971,74.30881,,80.37733,85.16719,87.53027,88.95249,91.47498,90.94823,,90.13416,89.71099,89.69917,90.06547,,
Bolivia,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.86253,95.99743,96.41673,96.30042,96.51171,96.68407,96.354,96.42277,96.43571,96.20668,94.91023,97.1906,94.39305,91.85201,88.39177,88.0242,87.94434,88.70123,89.84267,91.48686,93.18324,,
Botswana,BWA,48.97655,45.47383,46.83257,49.92005,54.27965,61.02754,65.59571,69.79238,70.47779,71.93308,76.10508,80.6789,,85.62017,86.37615,88.6703,89.85557,90.76857,91.24606,91.89309,91.56383,93.73882,93.09434,92.69135,92.66993,83.12641,83.61821,,86.18052,85.21012,86.08761,87.44805,87.57104,87.66034,88.60405,87.80573,88.81535,88.45019,85.99029,85.5554,,,88.25972,,,,,,,,
Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.07272,,98.85493,96.72741,94.29506,95.58531,96.07993,,92.47411,98.53831,96.58508,,95.69718,98.54993,97.32389,97.4362,96.85231,97.20202,97.55117,,,
Brunei Darussalam,BRN,,,,,,,,89.63365,89.75917,80.04534,79.89489,76.09079,74.54283,75.85916,76.84005,,80.08959,,,,,89.85875,91.66947,94.30621,94.42407,97.98266,,,,,,,,,,,,,,97.22446,,,96.74419,97.23998,96.5768,96.49142,96.68663,96.14464,96.07682,,
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,93.93516,95.0039,97.46041,97.58017,97.09026,97.10991,96.03343,96.28332,96.96116,95.79106,96.76806,99.52181,99.66652,99.30125,99.50947,99.49688,97.18578,95.3372,94.00772,91.9879,89.46126,88.08615,,,
Burkina Faso,BFA,,10.0546,10.48779,,,,,12.55795,13.02682,13.5189,14.30845,15.32438,16.8141,18.08002,19.42905,21.48462,23.48546,25.13819,25.62197,25.91472,,27.18227,27.70352,28.68706,29.91303,31.53515,,,34.98034,35.51457,36.7463,37.77186,36.72142,39.04855,41.14892,45.97286,49.62343,54.95361,61.00304,63.89452,,64.89106,66.07414,66.97207,68.30377,69.95995,75.85293,77.00507,79.34168,,
Burundi,BDI,,,,18.59082,,,,,17.14554,,18.70052,20.57046,23.85651,29.98929,34.70884,38.96946,41.46913,46.5633,49.16317,,,,,49.06123,,,,,,,41.44158,50.27606,49.53727,52.98084,54.62652,57.85952,74.51539,81.83971,92.44863,90.75957,95.49752,,,,,,,95.54934,93.4166,,
Cabo Verde,CPV,,,,,,,,,,,,89.59942,88.15434,85.11353,91.68477,94.56526,95.87482,97.08417,99.55368,,99.20278,,,,99.14782,,,,99.82899,,99.56229,97.28274,96.97873,96.13641,95.22005,96.12108,97.00636,97.39093,96.55235,95.75413,94.75945,93.46983,93.8087,93.21409,93.27274,93.38192,92.86026,92.98582,93.52897,,
Cambodia,KHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.10079,84.95569,86.89278,93.16555,,,98.06397,,,94.83255,95.88748,94.81747,,93.61728,,97.40673,,95.34509,95.56259,92.97896,90.8034,90.69029,,
Cameroon,CMR,,64.2588,63.21244,61.48078,59.38192,65.97186,67.44146,66.16026,67.51747,68.46152,68.67653,,,,,,,,74.10155,,73.17901,71.2428,,,,,,,,,,,,,,,,,84.41215,87.01492,,88.72421,94.0902,,94.763,95.19802,94.493,92.87395,,,
Canada,CAN,,,,,,,,,,,,,96.09216,95.82713,95.25873,95.10443,95.41775,95.48426,95.48272,95.72394,95.73245,98.30903,98.06502,96.43984,95.88897,94.75944,95.69298,,99.15291,99.92808,99.92051,,,,,,,,,,,,99.45167,99.43231,99.39113,99.58907,99.95587,,,,
